"filename", "language", "JSON", "Properties", "JavaScript", "HTML", "PostCSS", "comment", "blank", "total"
"/home/jadhu/projects/Demo_Project/bhutanchoice.com/admin/.env", "Properties", 0, -5, 0, 0, 0, 0, 0, -5
"/home/jadhu/projects/Demo_Project/bhutanchoice.com/admin/app.js", "JavaScript", 0, 0, -44, 0, 0, -6, -13, -63
"/home/jadhu/projects/Demo_Project/bhutanchoice.com/admin/config/connection.js", "JavaScript", 0, 0, -17, 0, 0, 0, -4, -21
"/home/jadhu/projects/Demo_Project/bhutanchoice.com/admin/helper/adminHelper.js", "JavaScript", 0, 0, -82, 0, 0, -7, -22, -111
"/home/jadhu/projects/Demo_Project/bhutanchoice.com/admin/helper/agentHelper.js", "JavaScript", 0, 0, -270, 0, 0, -19, -48, -337
"/home/jadhu/projects/Demo_Project/bhutanchoice.com/admin/helper/bookingHelper copy.js", "JavaScript", 0, 0, -14, 0, 0, 0, -6, -20
"/home/jadhu/projects/Demo_Project/bhutanchoice.com/admin/helper/bookingHelper.js", "JavaScript", 0, 0, -448, 0, 0, -50, -81, -579
"/home/jadhu/projects/Demo_Project/bhutanchoice.com/admin/helper/indexHelper.js", "JavaScript", 0, 0, -1336, 0, 0, -134, -183, -1653
"/home/jadhu/projects/Demo_Project/bhutanchoice.com/admin/helper/settingHelper.js", "JavaScript", 0, 0, -121, 0, 0, -3, -17, -141
"/home/jadhu/projects/Demo_Project/bhutanchoice.com/admin/helper/startingHelper.js", "JavaScript", 0, 0, -741, 0, 0, -589, -4, -1334
"/home/jadhu/projects/Demo_Project/bhutanchoice.com/admin/helper/verifyAdmin.js", "JavaScript", 0, 0, -23, 0, 0, -6, -6, -35
"/home/jadhu/projects/Demo_Project/bhutanchoice.com/admin/model/adminSchema.js", "JavaScript", 0, 0, -36, 0, 0, 0, -4, -40
"/home/jadhu/projects/Demo_Project/bhutanchoice.com/admin/model/agentSchema.js", "JavaScript", 0, 0, -60, 0, 0, -1, -8, -69
"/home/jadhu/projects/Demo_Project/bhutanchoice.com/admin/model/bookingsSchema.js", "JavaScript", 0, 0, -173, 0, 0, -10, -12, -195
